UniqueId,Business name,Address,City,Pincode,State,Website,Main Category,Sub Category,Latitude,Longitude,Phone No.1,Phone No.2,Business Hours,Phone Remark
ICL2728895,Jiyanshi Clinic,"Opposite Limdiya Hanuman Mandir, Nikol Gam Road, Nicol",Ahmedabad,382350,Gujarat,,Health,Clinics,23.04101085,72.66684053,8866178049,,10:00 AM TO 02:00 PM AND 05:00 PM TO 09:00 PM,
ICL3938213,Shree Satima Mandir,"Service Road, New Mani Nagar, Dharti Colony, Narolgam, Near Federal Bank Atm",Ahmedabad,382405,Gujarat,,Religion,Temples,22.9638065,72.5910107,,,06:30 AM TO 09:00 AM AND 05:00 PM TO 08:00 PM,
ICL6268402,Indian Institute Of Public Health,"Sardar Patel Institute Campus, Opp Udgam School, Drive In Road",Ahmedabad,380054,Gujarat,www.thfi.org,Education,Coaching / Training Centers,23.047798,72.520558,7940240444,,07:00 AM TO 07:00 PM,
ICL3984334,Sanjivani Ayurvedic,"291 Sky Viewe, Nr Gh 5 Circle, Nr 17/22 Bus Stand",Ahmedabad,382421,Gujarat,,Health,"Alternate Medicine ( Ayurveda, Homeopathy)",23.1799805,72.6347749,9327062323,,09:30 AM TO 11:30 PM,
ICL23992931,Post Office - Maninagar S.O,"Maninagar, Taluka Ahmadabad City, District Ahmedabad",Ahmedabad,380008,Gujarat,www.indiapost.gov.in,Govt. Office,Post Office,22.99581846,72.6039503,18002666868,,09:00 AM TO 06:00 PM,
ICL3519756,Dr Bhagwan L Dhirwani - (Dr Bhaguram Dhirumani),"Ground Floor, Love Consultant, Opposite Asara Cinema, Kankaria",Ahmedabad,380002,Gujarat,,Health,Doctor,23.003017,72.596384,7925430723,,10:30 AM TO 02:00 PM AND 06:00 PM TO 08:00 PM,
ICL09640313,Post Office - Kathwada B.O,"Kathwada, Taluka Daskroi, District Ahmedabad",Ahmedabad,382430,Gujarat,www.indiapost.gov.in,Govt. Office,Post Office,23.05807985,72.70834948,18002666868,,09:00 AM TO 06:00 PM,
ICL5843747,Yogi Eye Hospital,"D 305/3, Galaxy Arcade, Near Galaxy Cinema, Naroda 382330, Chandresh Society, Makarpura, Gidc Naroda",Ahmedabad,382330,Gujarat,,Health,Hospitals,23.0779619,72.6545136,9825023834,,10:30 AM TO 08:00 PM,
ICL4414815,Gayatri Homoeopathic Clinic,"Bhimjipura Road, Nava Vadaj, Bhimjipura, Near Gurjar Kshatriya Hostel",Ahmedabad,380013,Gujarat,,Health,Clinics,23.060398,72.568329,9409605531,,11:00 AM TO 02:00 PM AND 06:00 PM TO 08:00 PM,
ICL5018769,Auroma Ayurvedic,"1/1, New Bapu Cross Road Bapu Nagar Shaktidhara Complex, Opp Daimond Market",Ahmedabad,380024,Gujarat,,Health,Doctor,23.037108,72.630776,9426590180,7922747197,08:30 AM TO 07:30 PM,
ICL2013865,Samved Hospital,"Commerce Zone, 2Nd Floor, Nr Sopan Flat, Near Stadium Circle, Navrangpura",Ahmedabad,380009,Gujarat,,Health,Hospitals,23.040399,72.557897,7926431616,7965623738,09:00 AM TO 08:00 PM,
ICL7882241,Dr Urmil Shah,"201, Balleshwar Avn, Opp Rajpath Club, Bodakdev",Ahmedabad,380054,Gujarat,,Health,Doctor,23.041084,72.5145,9825066939,,08:00 AM TO 08:00 PM,
ICL8715168,Shah Dr Nilesh M,"301, 3Rd Floor, Sangini Complex, Nr Parimal Rly Crossing, Ellisbridge",Ahmedabad,380006,Gujarat,,Health,Doctor,23.0175,72.558333,7926465131,9825043748,10:00 AM TO 01:00 PM AND 05:30 PM TO 08:00 PM,
ICL0738411,Abhay D Khandekar,"Siddhi Vinayak Hospital, Nr Balvatika Jaldhara Waterworld Kankaria, Narolgam",Ahmedabad,380002,Gujarat,,Health,Doctor,23.004167,72.606287,7925465128,7925471025,11:00 AM TO 12:30 PM AND 05:00 PM TO 08:00 PM,
ICL6327803,Shree Balaji Ayurved,"Shop No-2, Deep Darsan Complex, Near Jayhind Cross Road, Opposite Saraswati School, Mani Nagar",Ahmedabad,380008,Gujarat,,Health,"Alternate Medicine ( Ayurveda, Homeopathy)",22.9957392,72.60819232,9426750347,9428313821,10:30 AM TO 10:30 PM,
ICL5062667,Dhanwantari Hospital,"34, Shradhadeep Complex, Ankur Ring Road Circle, Opp Shastrinagar, Narayan Pura",Ahmedabad,380013,Gujarat,,Health,Hospitals,23.062346,72.551298,9825562113,9833288919,11:00 AM TO 08:30 PM,
ICL7261257,Jai Radhe Sales,"309/310, Harikrupa Tower, Near Old Sharda Mandir, Behind Gujrat College Ellisbridge",Ahmedabad,380006,Gujarat,www.jairadhesales.com,Health,Pharmacies,23.02002611,72.56132418,7926431096,9426709766,08:30 AM TO 11:00 PM,
ICL4059431,Jay Hanuman Temple,"New Mani Nagar, Service Road, Dharti Colony, Narolgam, Near Hanuman Temple",Ahmedabad,382405,Gujarat,,Religion,Temples,22.9633354,72.5916207,,,06:00 AM TO 09:00 AM AND 05:00 PM TO 08:00 PM,
ICL3860499,Astha Medical And Provision Store,"Shop No 2, Astha Complex-1, Opposite Madhav School, Ratanpura, Vastral",Ahmedabad,380026,Gujarat,,Health,Pharmacies,23.00307083,72.66343345,9898381519,,08:30 AM TO 10:00 PM,
ICL5449686,Meet Homoeopathic Clinic,"Yash Building, Cross Road, Naranpura",Ahmedabad,380013,Gujarat,,Health,Clinics,23.05226939,72.560257,9979120802,,10:00 AM TO 12:30 PM AND 05:30 PM TO 08:30 PM,
ICL4994834,Jain Visha Shrimali Caste Dispensary,"S'Sheri, Opp Shiv Temple, Manekchowk",Ahmedabad,380001,Gujarat,,Health,Hospitals,23.023381,72.589329,7922140211,,10:30 AM TO 12:30 PM,
ICL4041246,Dr Kiran Vachhani,"India Colony Road, Opp Naran Chamber, Bapu Nagar",Ahmedabad,382345,Gujarat,,Health,Doctor,23.038821,72.633005,7922760850,,10:00 AM TO 02:00 PM AND 05:00 PM TO 08:00 PM,
ICL4881381,Shreeji Clinic,"5, Jivan Sagar Complex, Opposite Balbhavan, Khokhara",Ahmedabad,380008,Gujarat,,Health,Clinics,23.00180129,72.61662242,9714609489,,09:30 AM TO 01:00 PM AND 06:00 PM TO 08:30 PM,
ICL4474767,Jay Tuition Group,"Shubhalaxmi Flats, Khodiyar Mandir Char Rasta, Bapunagar",Ahmedabad,380024,Gujarat,,Education,Coaching / Training Centers,23.0450146,72.6323108,9879305707,,08:00 AM TO 04:00 PM,
ICL0609664,Shri Divyadrashti Laser Clinic Private Limited,"101, 15, White Cross;Patel Society, From Panchwati To Gulbai Tekra, Ellisbridge",Ahmedabad,380006,Gujarat,,Health,Clinics,23.028874,72.558468,7926401440,,10:00 AM TO 06:30 PM,
ICL7592479,Excellent Group Tution,"Bhakti Residency, Near Mahakali Temple, Bapu Nagar",Ahmedabad,380024,Gujarat,,Education,Coaching / Training Centers,23.0389082,72.6311753,8000311050,,10:00 AM TO 09:30 PM,
ICL8992495,Adarsh Medical,"Road Number 5, Sector 22, Near Kakav Neurore Habilitation Centre, Gandhinagar",Ahmedabad,382016,Gujarat,,Health,Pharmacies,23.232159,72.653793,9879560381,,08:00 AM TO 10:30 PM,
ICL5739442,Sahyog Agencies,"A/8, Opp Devraj Mall, Jaysomnath Society, Nr Approach, Bapunagar",Ahmedabad,380024,Gujarat,,Health,Pharmacies,23.038794,72.632179,7922771557,9879370789,09:00 AM TO 11:00 PM,
ICL2488551,Dr Nimisha Pandya - (Shalby Hospital),"Shaby Hospitals, Vijay Cross Road, Near Fire Station, Navrangpura",Ahmedabad,380009,Gujarat,,Health,Doctor,23.043921,72.549601,9824466884,,10:00 AM TO 02:00 PM AND 05:00 PM TO 08:00 PM,
ICL05309425,Post Office - Kabir Chowk S.O,"Kabir Chowk, Taluka Ahmadabad City, District Ahmedabad",Ahmedabad,380005,Gujarat,www.indiapost.gov.in,Govt. Office,Post Office,23.09149793,72.58494089,18002666868,,09:00 AM TO 06:00 PM,
ICL1356379,Dream Zone Academy,"420, Platinium Plaza, Fourth Floor, Near Rajhansh Cinema, New India Colony, Nikol",Ahmedabad,380049,Gujarat,,Education,Coaching / Training Centers,23.049786,72.6670469,7575062411,,10:30 AM TO 11:00 PM,
ICL4735141,Saraswati Education English Speaking,"Next To Anand, Ranip, Near Axis Bank Curreny Chest",Ahmedabad,382470,Gujarat,,Education,Coaching / Training Centers,23.085652,72.560091,9879845028,,05:00 AM TO 11:00 AM AND 04:00 PM TO 08:00 PM,
ICL7000492,Kidzee Pre School,"A/1, Umang Mehul Parivar Society, Nr R C Patel School, Vasna, Opposite Shree Kunj Society Bus Stop",Ahmedabad,380015,Gujarat,www.kidzee.com,Education,Schools,23.010666,72.539531,9099980132,,08:30 AM TO 02:00 PM,
ICL8468214,Compacc Training Institute,"712/1, Near Patel Market, Sakar Bazar, Kalupur",Ahmedabad,380002,Gujarat,,Education,Coaching / Training Centers,23.02996859,72.59878834,9824524295,,11:00 AM TO 11:30 PM,
ICL7385776,Shemrock Nursery,"L T House, Tulsi Baugh, Bal Vatika Road, Kankaria, Mani Nagar",Ahmedabad,380008,Gujarat,www.shemrock.com,Education,Schools,23.004456,72.605963,9924006300,,08:30 AM TO 02:30 PM,
ICL0189112,Puspam Hospital,"Shantiniketan Complex, D Cabin, Sabarmati",Ahmedabad,380019,Gujarat,,Health,Hospitals,23.102933,72.569867,7927501878,,10:00 AM TO 10:30 PM,
ICL8400371,Surgical Hospital,"No 8-9 2Nd Floor, Sharddha Complex, Isanpur",Ahmedabad,382443,Gujarat,,Health,Hospitals,22.969904,72.606698,9825074020,,10:30 AM TO 10:00 PM,
ICL7378308,Vijay Hadvaidy Clinic,"Gayatri Dairy Road, Opposite Keka Sasry College, Khokhara Road",Ahmedabad,380008,Gujarat,,Health,Clinics,23.004223,72.6164,9913859430,,10:00 AM TO 01:00 PM AND 05:30 PM TO 08:00 PM,
ICL1261303,Thakkar Chemist,"Rear Shopping Center Road, Old M.L.A.Quarters, Sector 17, Near State Bank Of India, Gandhinagar",Ahmedabad,382016,Gujarat,,Health,Pharmacies,23.228079,72.653175,9824558658,,09:30 AM TO 10:00 PM,
ICL1624983,Anar Dental Care,"8/Ulf, Nildedep Apartment, Sandesh Press Road, Opp.Super Plaza, Bodakdev",Ahmedabad,380054,Gujarat,,Health,Clinics,23.035986,72.512835,9825100023,,11:00 AM TO 01:30 PM AND 06:00 PM TO 08:00 PM,
ICL00021688,Indiapost,"Kubernagar P.O, G Ward, Kubernagar",Ahmedabad,382340,Gujarat,,Govt. Office,Aadhar Centre,23.07113117,72.63620961,18002666868,,10:00 AM TO 02:00 PM,
ICL4147671,Radiange Hospitals,"Near Passport Seva Kendra Near, Vijay Cross Road, Navrangpura, Professor'S Colony, Rupam Society, Navrangpura",Ahmedabad,380009,Gujarat,www.drashishchokshi.com,Health,Hospitals,23.0432304,72.5484305,7043211118,,08:00 AM TO 10:00 PM,
ICL6025922,Axay Sir'S Academy,"Satelite, Near Home Premises",Ahmedabad,380015,Gujarat,,Education,Coaching / Training Centers,23.033179,72.516751,8140940630,,02:00 PM TO 07:30 PM,
ICL7277078,Indian Institute Of Fashion Design,"B/403, Royal Akbar Tower, Sarkhej Gandhinagar Highway, Sarkhej Gandhi Nagar",Ahmedabad,380055,Gujarat,,Education,Coaching / Training Centers,22.9931166,72.5254666,7926822086,,08:00 AM TO 08:00 PM,
ICL7014131,Saint Xaviers School,"Loyola Hall, Naranpura",Ahmedabad,382440,Gujarat,www.loyolahallahd.com,Education,Schools,22.9458217,72.6273993,7927910400,7927911072,08:00 AM TO 01:00 PM,
ICL8555894,Shai Ram Temple,"Thakkarbapa Nagar Road, Indrajit Baug Society, Thakkarbapa Nagar",Ahmedabad,382350,Gujarat,,Religion,Temples,23.040312,72.643083,,,06:30 AM TO 09:00 AM AND 05:00 PM TO 08:30 PM,
ICL7065217,Desai Dr K B,"303, 2Nd Floor, H J House, Near Maninagar Police Station, Rambaug",Ahmedabad,380008,Gujarat,,Health,Doctor,22.9986166,72.60165,9898628677,,11:00 AM TO 01:30 PM AND 06:00 PM TO 08:30 PM,
ICL2245031,Ahmedabad International School,"Gadinaka Sarkej Highway Opp Rajapath Row House, Behind Kiran Motors Gali, Opp Rajapath Row House",Ahmedabad,380054,Gujarat,,Education,Schools,23.034553,72.51302,7926872155,,08:30 AM TO 02:30 PM,
ICL6894464,Jagannath Mahadev Mandir,"Ahmedabad - Zalod Highway, Odhav Industrial Estate, Odhav",Ahmedabad,382430,Gujarat,,Religion,Temples,23.024672,72.694678,,,06:30 AM TO 09:00 AM AND 05:30 PM TO 09:30 PM,
ICL8547285,Shivshakti Vidyalay,"Ioc Road, Near Sneh Plaza Bus Station, Chandkheda",Ahmedabad,382424,Gujarat,,Education,Schools,23.114273,72.573387,9033910284,,09:30 AM TO 03:30 PM,
ICL6294139,Radhe Physiotherapy,"Kudasan Road, Urjanagar 1, Kudasan, Gandhinagar",Ahmedabad,382421,Gujarat,www.radhephysiotherapy.com,Health,Doctor,23.1793284,72.6332809,9033384716,,08:00 AM TO 09:00 PM,
ICL6248723,Royal Institute,"Shop No 101, Shyam Complex-1, I O C Road, Chandkheda",Ahmedabad,382424,Gujarat,,Education,Coaching / Training Centers,23.1141288,72.57828124,9898667790,,09:00 AM TO 07:30 PM,
ICL3178753,Sagar Multispeciality Hospital,"Ravi Arcade, Dudheshwar Road, Tavdipura, Near Union Bank Of India Atm, Kazipur Dariyapur",Ahmedabad,380004,Gujarat,,Health,Hospitals,23.048867,72.581494,9909163307,,10:30 AM TO 10:30 PM,
ICL8981983,K K Memorial Nursing Home,"1Stb Floor, Kanti Villa, New Asarwa, Asarwa Chakla, Opp Umiya Mata Temple",Ahmedabad,380016,Gujarat,,Health,Hospitals,23.052377,72.600235,7922178888,7922178800,08:30 AM TO 10:00 PM,
ICL3378236,Soham Medico,"Gheekanta, Near Sarvodaya Commercial Centre, Bhadra",Ahmedabad,380001,Gujarat,,Health,Pharmacies,23.027097,72.583901,9825565008,,09:30 AM TO 11:00 PM,
ICL1337709,Wali Ahmad,"Near Shagona Estate, Near Bak Of Baroda, Naroda Road, Kodiwadi, Memco",Ahmedabad,382345,Gujarat,,Health,"Alternate Medicine ( Ayurveda, Homeopathy)",23.052153,72.628225,9800089649,,10:00 AM TO 11:00 PM,
ICL20537203,Post Office - Jamalpur S.O (Ahmedabad),"Jamalpur (Ahmedabad), Taluka Ahmadabad City, District Ahmedabad",Ahmedabad,380001,Gujarat,www.indiapost.gov.in,Govt. Office,Post Office,23.01290935,72.58479469,18002666868,,09:00 AM TO 06:00 PM,
ICL2580774,Vihat Vihar Primary School,"12, Dahyakakanagar Society, Opposite Umeshnagar, Meghani Nagar",Ahmedabad,382345,Gujarat,,Education,Schools,23.058011,72.621004,7922684712,,08:00 AM TO 04:30 PM,
ICL3893295,Unitedworld School Of Law,"Zodiac Sqaure, 4Th Floor, 407, Bodakdev",Ahmedabad,380054,Gujarat,,Education,Schools,23.045374,72.515907,9033001242,,10:00 AM TO 04:00 PM,
ICL6842222,Bapa Sitaram Temple,"Canal Road, Dwarkesh Dham Society, Adarsh Gali Road, Near Shayamkrupa Apartment, Thakkarbapa Nagar",Ahmedabad,382350,Gujarat,,Religion,Temples,23.044252,72.652985,,,06:00 AM TO 09:00 AM AND 05:00 PM TO 08:30 PM,
ICL8103363,Shri Khodiyar Ma Mandir,"227, Bulakhidas Road, Abu Street Society, Sabarmati",Ahmedabad,380005,Gujarat,,Religion,Temples,23.0815285,72.5907064,,,06:00 AM TO 09:30 AM AND 05:30 PM TO 09:30 PM,
ICL6513611,The Amc Dental College,"Ground Floor, A M C Dental College, Bhalakiya Mill Compound, Opposite Anupam Cinema, Khokhara",Ahmedabad,380008,Gujarat,,Education,Colleges,23.004379,72.613033,7922932501,7922934301,10:00 AM TO 06:00 PM,
ICL4063171,Yash Clinic,"4, Dev-Pooja Complex, Opp Prernatirth Banglows, Near Rosewood Flats, Jodhpur Village",Ahmedabad,380015,Gujarat,,Health,Clinics,23.0224394,72.5220267,9426340827,,09:30 AM TO 10:00 PM,
ICL4432971,Aasha Temple Pco,"Satellite Road, Suryapooja Block B, Nyay Marg, Near Union Bank Of India Atm, Satellite",Ahmedabad,380015,Gujarat,,Religion,Temples,23.024968,72.52771,,,06:00 AM TO 09:30 AM AND 05:00 PM TO 08:30 PM,
ICL3656419,Ent Clinic,"Room No 109, Sal Hospital, Opp Doordarshan Tower, Drive In Road, Thaltej, Nilmani Society",Ahmedabad,380052,Gujarat,,Health,Clinics,23.04985958,72.52483321,9979891672,,10:30 AM TO 11:30 PM,
ICL2902146,Corona Remedies Private Limited,"413/414, Saman, Opposite Nalanda Complex, Vastrapur",Ahmedabad,380015,Gujarat,www.coronaremedies.com,Health,Pharmacies,23.036564,72.528638,9825067944,,08:00 AM TO 10:00 PM,
ICL4395705,Adarsh Hospital,"6, Ambica Society, Opp Vidyanagar High School, Osmanpura",Ahmedabad,380013,Gujarat,,Health,Hospitals,23.046498,72.569766,7927561715,9879971646,09:00 AM TO 06:30 PM,
ICL5812524,Jagdambe Mata Temple,"New Mani Nagar, Service Road, Near Icici Bank, Dharti Colony, Narolgam",Ahmedabad,382405,Gujarat,,Religion,Temples,22.960923,72.592466,,,06:30 AM TO 09:00 AM AND 05:30 PM TO 08:00 PM,
ICL3755015,Takshashila Education College,"Maheshwari Nagar, Near Mirabai Circle, Odhav",Ahmedabad,382415,Gujarat,,Education,Colleges,23.023516,72.653979,7922872246,,10:00 AM TO 06:00 PM,
ICL7496816,Experimental Primary School English And Gujarati Medium,"Parshwanath Township, Krishnanagar, Nava Naroda",Ahmedabad,382345,Gujarat,,Education,Schools,23.05402219,72.65551915,7922808161,,06:30 AM TO 05:30 PM,
ICL1659925,Royal Institute,"Nava Vadaj, Near Ambica Dairy Parlour",Ahmedabad,382350,Gujarat,,Education,Coaching / Training Centers,23.045047,72.648886,9408803099,,10:00 AM TO 05:00 PM,
ICL3574115,Dr.Milan Maheshwari,"Ioc Road, Beside Sneh Plaza, Chandkheda",Ahmedabad,382424,Gujarat,,Health,Doctor,23.112453,72.572377,9978902900,,11:00 AM TO 02:00 PM AND 05:00 PM TO 08:00 PM,
ICL2653552,Vip Academy Pvt Ltd,"2Nd Floor, Vishwa Arcade, Opp. Kum-Kum Party Plot, Near Akhar Nagar Circle, Behind Rachana High School, New Wadaj",Ahmedabad,380013,Gujarat,www.vipacademy.in,Education,Coaching / Training Centers,23.069805,72.56093,9974535540,,08:00 AM TO 06:00 PM,
ICL2088909,Jogni Mataji Temple,"Rita Nagar, Vastara Pura Road, Near Mahalaxmi Complex, Amraiwadi",Ahmedabad,380026,Gujarat,,Religion,Temples,23.002074,72.640594,,,06:00 AM TO 09:00 AM AND 05:00 PM TO 08:00 PM,
ICL2710765,Mahendrabhai Clinic,"Nr Police Commissioner Office, Shahibaug",Ahmedabad,380004,Gujarat,,Health,Clinics,23.054997,72.592098,9925153156,,09:30 AM TO 12:30 PM AND 05:00 PM TO 08:00 PM,
ICL10759388,Ghatlodiya Police Station,"B/H Chandni Apartment, Sola Road, Ghatlodia",Ahmedabad,380061,Gujarat,,Govt. Office,Police Station,23.0573941,72.54336792,7927489127,,24 HRS,
ICL8671408,Manmandir Traditional,"Oswal Ni Gali, Sattar Taluka Society, Usmanpura",Ahmedabad,380014,Gujarat,,Religion,Temples,23.041525,72.5702,,,06:30 AM TO 09:00 AM AND 05:30 PM TO 09:00 PM,
ICL1768118,Shree Ambaji Temple,"Bhimjipura Road, Near Dena Bank, New Vadaj",Ahmedabad,380013,Gujarat,,Religion,Temples,23.066259,72.571442,,,06:30 AM TO 09:00 AM AND 05:00 PM TO 08:30 PM,
ICL7212312,Bachpan A Play School,"2Nd Floor, Classic Paradise Building, Royal Nawab Avenue, Near Agro Petrol Pump, Sarkhej Road, Beside Nawab Plaza, Juhapura",Ahmedabad,380055,Gujarat,www.bachpanblobal.com,Education,Schools,22.993132,72.525806,9824017478,,09:30 AM TO 12:30 PM,
ICL2079196,Shree Radha Vallabh Ji Temple,"Chinubhai Road, Near Mahalaxmi Bhaji Paav-Pulav Center, Khadia",Ahmedabad,380001,Gujarat,,Religion,Temples,23.02159,72.594109,,,06:30 AM TO 10:00 AM AND 05:30 PM TO 08:30 PM,
ICL1373859,Gajjar Dr Jayesh Clinic,"Shiv Chamber, 2Nd Floor, C T M Char Rasta, Amraiwadi",Ahmedabad,380026,Gujarat,,Health,Clinics,22.9926333,72.6321,7925853505,,11:00 AM TO 09:00 PM,
ICL1011283,Krishna Medical Store,"New Ashram Road, Near By Shivam Apartment, Nava Vadaj",Ahmedabad,380013,Gujarat,,Health,Pharmacies,23.06702232,72.57151031,9725996373,,08:30 AM TO 11:00 PM,
ICL8058385,Shanta Nursing Home,"Lunsawad, Opp Kikabhatts Pole, Dariapur",Ahmedabad,380001,Gujarat,,Health,Hospitals,23.036124,72.590186,7922168212,9727057049,10:30 AM TO 11:00 PM,
ICL12240536,Post Office - Cantonment S.O,"Cantonment, Taluka Ahmadabad City, District Ahmedabad",Ahmedabad,380004,Gujarat,www.indiapost.gov.in,Govt. Office,Post Office,23.07014135,72.60746251,18002666868,,09:00 AM TO 06:00 PM,
ICL6912519,Munali Primary School,"Near Krishna Piya Society, Sonanagar, Chandkheda, Near Ambaji Matanu Temple",Ahmedabad,380019,Gujarat,,Education,Schools,23.110466,72.57598,7927500026,,08:30 AM TO 02:30 PM,
ICL3208778,Shri Ram Ji Temple,"Sarangpur Darwaja Road, Near Shree Mathura Nath Ji Temple, Khadia",Ahmedabad,380001,Gujarat,,Religion,Temples,23.022037,72.597069,,,06:00 AM TO 09:00 AM AND 05:00 PM TO 09:30 PM,
ICL4378584,Mahavir Medical Agency,"881/2/1, Lunaswad Piplavalo Khan Chowk, Golwad, At Piplavalo Khan Chowk, Dariapur",Ahmedabad,380001,Gujarat,,Health,Pharmacies,23.032229,72.593309,9825773695,7922161471,08:30 AM TO 11:00 PM,
ICL3705799,Sri Jalaram Class,"21/A, Bhairavnath - Isanpur Road, Rachana Maninagar Society, Jay Krishna Society, Isanpur",Ahmedabad,380050,Gujarat,,Education,Coaching / Training Centers,22.98305893,72.59745026,9099088801,,03:00 PM TO 08:00 PM,
ICL3191653,The Frank Ross Limited,"A/11, Doctor House, 30 Parimal Society, Parmal Gardan X Road, Navrangpura",Ahmedabad,380006,Gujarat,,Health,Pharmacies,23.01751138,72.55830126,7926426661,,09:00 AM TO 11:00 PM,
ICL3372729,Neha Medical Stores,"Kali Road, Sabarmati, D-Cabin, Near Ip Hindi Vidyalaya, Chandkheda",Ahmedabad,380019,Gujarat,,Health,Pharmacies,23.105501,72.575821,9898150641,,09:30 AM TO 10:00 PM,
ICL5230611,Apurva Dental Clinic,"Ground Floor, Aabhushan Apartment, Ankur Road, Opp Jain Temple, Narayan Pura",Ahmedabad,380013,Gujarat,,Health,Clinics,23.059743,72.554116,7927482947,,09:00 AM TO 07:00 PM,
