,UniqueId,Business name,Address,City,Pincode,State,Website,Main Category,Sub Category,Latitude,Longitude,Phone No.1,Phone No.2,Business Hours,Phone Remark,raw_address,country,words_in_address,pin_codes_found,states_found,street_names_found,landmarks_found,shop_house_nos_found,districts_found,village_or_citys_found
50,ICL7000492,Kidzee Pre School,"A/1, Umang Mehul Parivar Society, Nr R C Patel School, Vasna, Opposite Shree Kunj Society Bus Stop",Ahmedabad,380015,Gujarat,www.kidzee.com,Education,Schools,23.010666,72.539531,9099980132,,08:30 AM TO 02:00 PM,,"a/1, umang mehul parivar society, nr r c patel school, vasna, opposite shree kunj society bus stop",india,"['opposite shree kunj society bus stop', 'vasna', 'a/1', 'umang mehul parivar society', 'nr r c patel school']",,,,"Opposite shree kunj society bus stop, Nr r c patel school",,,
51,ICL8468214,Compacc Training Institute,"712/1, Near Patel Market, Sakar Bazar, Kalupur",Ahmedabad,380002,Gujarat,,Education,Coaching / Training Centers,23.02996859,72.59878834,9824524295,,11:00 AM TO 11:30 PM,,"712/1, near patel market, sakar bazar, kalupur",india,"['near patel market', '712/1', 'kalupur', 'sakar bazar']",,,,Near patel market,,,Kalupur
52,ICL7385776,Shemrock Nursery,"L T House, Tulsi Baugh, Bal Vatika Road, Kankaria, Mani Nagar",Ahmedabad,380008,Gujarat,www.shemrock.com,Education,Schools,23.004456,72.605963,9924006300,,08:30 AM TO 02:30 PM,,"l t house, tulsi baugh, bal vatika road, kankaria, mani nagar",india,"['tulsi baugh', 'mani nagar', 'bal vatika road', 'kankaria', 'l t house']",,,Bal vatika road,,,,
53,ICL0189112,Puspam Hospital,"Shantiniketan Complex, D Cabin, Sabarmati",Ahmedabad,380019,Gujarat,,Health,Hospitals,23.102933,72.569867,7927501878,,10:00 AM TO 10:30 PM,,"shantiniketan complex, d cabin, sabarmati",india,"['shantiniketan complex', 'd cabin', 'sabarmati']",,,,,,,
54,ICL8400371,Surgical Hospital,"No 8-9 2Nd Floor, Sharddha Complex, Isanpur",Ahmedabad,382443,Gujarat,,Health,Hospitals,22.969904,72.606698,9825074020,,10:30 AM TO 10:00 PM,,"no 8-9 2nd floor, sharddha complex, isanpur",india,"['sharddha complex', 'no 8-9 2nd floor', 'isanpur']",,,,,,,Isanpur
55,ICL7378308,Vijay Hadvaidy Clinic,"Gayatri Dairy Road, Opposite Keka Sasry College, Khokhara Road",Ahmedabad,380008,Gujarat,,Health,Clinics,23.004223,72.6164,9913859430,,10:00 AM TO 01:00 PM AND 05:30 PM TO 08:00 PM,,"gayatri dairy road, opposite keka sasry college, khokhara road",india,"['gayatri dairy road', 'opposite keka sasry college', 'khokhara road']",,,"Khokhara road, Gayatri dairy road",Opposite keka sasry college,,,
56,ICL1261303,Thakkar Chemist,"Rear Shopping Center Road, Old M.L.A.Quarters, Sector 17, Near State Bank Of India, Gandhinagar",Ahmedabad,382016,Gujarat,,Health,Pharmacies,23.228079,72.653175,9824558658,,09:30 AM TO 10:00 PM,,"rear shopping center road, old m.l.a.quarters, sector 17, near state bank of india, gandhinagar",india,"['rear shopping center road', 'near state bank of india', 'gandhinagar', 'sector 17', 'old m.l.a.quarters']",,,Rear shopping center road,"Rear shopping center road, Near state bank of india",,,
57,ICL1624983,Anar Dental Care,"8/Ulf, Nildedep Apartment, Sandesh Press Road, Opp.Super Plaza, Bodakdev",Ahmedabad,380054,Gujarat,,Health,Clinics,23.035986,72.512835,9825100023,,11:00 AM TO 01:30 PM AND 06:00 PM TO 08:00 PM,,"8/ulf, nildedep apartment, sandesh press road, opp.super plaza, bodakdev",india,"['opp.super plaza', 'bodakdev', '8/ulf', 'sandesh press road', 'nildedep apartment']",,,Sandesh press road,Opp.super plaza,Nildedep apartment,,
58,ICL00021688,Indiapost,"Kubernagar P.O, G Ward, Kubernagar",Ahmedabad,382340,Gujarat,,Govt. Office,Aadhar Centre,23.07113117,72.63620961,18002666868,,10:00 AM TO 02:00 PM,,"kubernagar p.o, g ward, kubernagar",india,"['g ward', 'kubernagar', 'kubernagar p.o']",,,,,,,
59,ICL4147671,Radiange Hospitals,"Near Passport Seva Kendra Near, Vijay Cross Road, Navrangpura, Professor'S Colony, Rupam Society, Navrangpura",Ahmedabad,380009,Gujarat,www.drashishchokshi.com,Health,Hospitals,23.0432304,72.5484305,7043211118,,08:00 AM TO 10:00 PM,,"near passport seva kendra near, vijay cross road, navrangpura, professor's colony, rupam society, navrangpura",india,"['near passport seva kendra near', 'navrangpura', 'rupam society', 'vijay cross road', ""professor's colony""]",,,Vijay cross road,Near passport seva kendra near,,,Navrangpura
60,ICL6025922,Axay Sir'S Academy,"Satelite, Near Home Premises",Ahmedabad,380015,Gujarat,,Education,Coaching / Training Centers,23.033179,72.516751,8140940630,,02:00 PM TO 07:30 PM,,"satelite, near home premises",india,"['satelite', 'near home premises']",,,,Near home premises,,,
